chef_id,chef_name,surname,phone,birth,chef_age,experience,characterize,pas
1,Kylie,Gadney,9521253414,1975-07-15,49,11,A chef,"kS5$q.F6{,=,#!"
2,Milty,Shufflebotham,9916079377,1970-07-15,54,25,head chef,kI0`<~63#7y
3,Drucy,Atmore,7868356237,1975-07-15,49,5,C chef,bE9/hW?F.'j=Hd@
4,Mandel,Kitcat,4479150057,1994-07-15,30,7,B chef,fS1(6JuF>0O~o`NJ
5,Ginelle,Glasscoe,5713952486,1979-07-15,45,11,A chef,uZ8?DutM
6,Rosalind,Dudman,6765488408,1964-07-15,60,10,A chef,nM2{WR*\M`k
7,Hailee,Joddins,2077270526,1966-07-15,58,12,B chef,iQ1/Oja6cob
8,Gannon,Coat,9924473602,1980-07-15,44,17,sous chef,wO2}|469f>
9,Jerrome,Gotcliffe,4687363239,2001-07-15,23,3,C chef,fY0_VTst
10,Zandra,Fitzhenry,7719041719,1970-07-15,54,23,head chef,lY3>|zbc
11,Godard,Chagg,9524625470,1980-07-15,44,20,sous chef,zU3/d4_(PP'@M4s
12,Gerty,Stacy,3064397433,1964-07-15,60,18,sous chef,dR9+LRmo
13,Willy,Lere,7194499058,1995-07-15,29,5,C chef,jR7}cG#F
14,Wren,Wasiela,8096286344,1973-07-15,51,19,sous chef,gG8|=xz7
15,Zulema,Mufford,4332018496,1999-07-15,25,4,C chef,hH2<7RdC~
16,Lem,Boyall,5524874883,1993-07-15,31,9,A chef,dI5+RP9&E7m
17,Marjie,Kidd,5483703597,1965-07-15,59,27,head chef,"gQ5!Q3_zeS,Tt>.)"
18,Dela,Christal,5213013357,1976-07-15,48,9,A chef,hK5'QmIq8KV
19,Kassandra,Harkes,6116027289,1998-07-15,26,5,C chef,"yA8=|k+I,"
20,Ferdinande,Bubeer,2241686670,1971-07-15,53,14,A chef,iA5}#+**
21,Nickolaus,Goldsworthy,8446586140,1985-07-15,39,4,C chef,"gZ8""wZbE"
22,Donica,Baulcombe,3625719546,1978-07-15,46,10,A chef,tG7)EA&B
23,Joyann,Brimley,5494302039,1983-07-15,41,18,sous chef,xY5=MmN`4
24,Fidela,Wozencraft,1378572846,1995-07-15,29,10,A chef,mD9\nNw3
25,Irene,Barenskie,4495051693,1966-07-15,58,22,head chef,zU5%)Ib/oQii
26,Guido,Behrendsen,5373727912,1987-07-15,37,6,C chef,"xB3#E!xd"""
27,Roch,Kopisch,9638387564,1984-07-15,40,21,head chef,"lQ3*""rD@"
28,Kinnie,Orto,3018269905,1985-07-15,39,12,A chef,bP9@LoFjEP%
29,Dulcia,Ibel,5578789998,1968-07-15,56,29,head chef,uE3#FWU0jn9&
30,Quinton,Cottey,2671424077,1989-07-15,35,13,B chef,sH3&zd0?D2tH
31,Aubrette,Habershaw,3012245220,1986-07-15,38,9,B chef,dX9`|+Jy$CZ++
32,Rodger,Bottomore,4663324962,1975-07-15,49,23,head chef,kZ9%I)b</bRc)
33,Tansy,Southward,5061054546,1998-07-15,26,2,C chef,sB3#NI)Fuz8nK#
34,Mae,O' Cuolahan,2615771892,1987-07-15,37,3,C chef,jK1<$jzh
35,Andris,Ganning,5534123260,2001-07-15,23,1,C chef,xY6?9sbrYf~z*lmN
36,Jarib,Varga,2324614308,2001-07-15,23,3,C chef,"yH2_Djx~u!l,?38"
37,Albertina,Axel,1509129866,1969-07-15,55,12,B chef,zF1+Ma&yi/
38,Colline,Beldon,2024117422,1986-07-15,38,6,C chef,jJ8*MQ$qTrR
39,Benny,Fraine,1701752621,2004-07-15,20,1,C chef,uG3'7KEHql)
40,Balduin,Rolfs,4544960896,1996-07-15,28,4,C chef,gV7?E=saHfW1ys=%
41,Paule,Peddersen,1068803894,1992-07-15,32,7,B chef,rC4`%uAu
42,Rozalin,Foss,6674893146,1996-07-15,28,3,C chef,"uN7&El67Sp""u"
43,Lindi,Wermerling,1032699289,1990-07-15,34,12,A chef,jD0`P`\5K
44,Angelico,Bubear,6556721610,1987-07-15,37,12,B chef,sJ4}{~=OB
45,Howard,Wakes,5183184475,1998-07-15,26,2,C chef,hA2&5cLsp
46,Igor,Stafford,8042115817,1990-07-15,34,10,A chef,uT9(1$qLe
47,Benni,Penrose,4404977876,1986-07-15,38,10,A chef,vS1'3EL(B)
48,Mervin,Thaller,4254750022,1975-07-15,49,16,sous chef,bX5$%N=`
49,Haleigh,Durrance,4183976378,1967-07-15,57,20,sous chef,"qL0*NUESY.A?$/'"""
50,Samuele,Swannick,8165619341,2001-07-15,23,4,C chef,"lJ9=Bp!`""z01G{"
